match_id,ipl_season,team1,team2,toss_winner,toss_decision,match_won_by,win_type,win_margin,venue
335982,2008,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Kolkata Knight Riders,runs,140.0,"M Chinnaswamy Stadium, Bengaluru"
335983,2008,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33.0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
335984,2008,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Delhi Capitals,wickets,9.0,"Arun Jaitley Stadium, Delhi"
335985,2008,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Royal Challengers Bengaluru,wickets,5.0,"Wankhede Stadium, Mumbai"
335986,2008,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,Kolkata Knight Riders,wickets,5.0,"Eden Gardens, Kolkata"
335987,2008,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Rajasthan Royals,wickets,6.0,Sawai Mansingh Stadium
335988,2008,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,Delhi Capitals,wickets,9.0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
335989,2008,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6.0,"MA Chidambaram Stadium, Chepauk, Chennai"
335990,2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
335991,2008,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,runs,66.0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
335992,2008,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,"M Chinnaswamy Stadium, Bengaluru"
335993,2008,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,9.0,"MA Chidambaram Stadium, Chepauk, Chennai"
335994,2008,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,10.0,"Dr DY Patil Sports Academy, Mumbai"
335995,2008,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Punjab Kings,wickets,4.0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
335996,2008,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,bat,Chennai Super Kings,runs,13.0,"M Chinnaswamy Stadium, Bengaluru"
335997,2008,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,wickets,7.0,"Eden Gardens, Kolkata"
335998,2008,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Delhi Capitals,runs,10.0,"Arun Jaitley Stadium, Delhi"
335999,2008,Deccan Chargers,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,7.0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
336000,2008,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,runs,45.0,Sawai Mansingh Stadium
336001,2008,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,wickets,8.0,"MA Chidambaram Stadium, Chepauk, Chennai"
336002,2008,Deccan Chargers,Royal Challengers Bengaluru,Deccan Chargers,bat,Royal Challengers Bengaluru,wickets,5.0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
336003,2008,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,Punjab Kings,runs,9.0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
336004,2008,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,29.0,"Dr DY Patil Sports Academy, Mumbai"
336005,2008,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,wickets,8.0,Sawai Mansingh Stadium
336006,2008,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,6.0,"M Chinnaswamy Stadium, Bengaluru"
336007,2008,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,7.0,"MA Chidambaram Stadium, Chepauk, Chennai"
336008,2008,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,7.0,"Dr DY Patil Sports Academy, Mumbai"
336009,2008,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,4.0,"Arun Jaitley Stadium, Delhi"
336010,2008,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,5.0,"Eden Gardens, Kolkata"
336011,2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,8.0,Sawai Mansingh Stadium
336012,2008,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,9.0,"M Chinnaswamy Stadium, Bengaluru"
336013,2008,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Chennai Super Kings,runs,18.0,"MA Chidambaram Stadium, Chepauk, Chennai"
336014,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,23.0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
336015,2008,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,Sawai Mansingh Stadium
